NOM	_1891_1900	_1901_1910	_1911_1920	_1921_1930	_1931_1940	_1941_1950	_1951_1960	_1961_1970	_1971_1980	_1981_1990	_1991_2000
AABI	0	0	0	0	0	0	0	0	4	21	7
AABID	0	0	0	0	0	0	0	0	7	13	17
AALBERG	1	5	2	5	4	6	4	2	1	0	0
AAMARA	0	0	0	0	0	0	0	1	11	5	15
AARAB	0	0	0	0	0	0	0	3	63	204	139
AARNINK	0	0	0	0	0	0	14	7	2	10	8
AARON	19	34	26	37	18	31	74	56	37	59	53
AARRAS	0	0	0	0	0	0	0	1	7	9	16
AATAR	0	0	0	0	0	0	0	1	12	15	13
AATIF	0	0	0	0	0	0	0	0	13	15	9
AATZ	3	4	3	2	5	3	5	11	1	12	7
AAZIZ	0	0	0	0	0	0	0	1	14	9	11
ABA	0	2	0	0	1	7	9	8	19	18	16
ABABOU	0	0	0	0	0	5	6	9	17	37	60
ABABSA	0	0	2	3	0	3	20	60	69	70	81
ABACHIN	0	2	1	7	8	9	18	17	15	15	20
ABAD	8	24	49	103	69	111	185	271	229	273	221
ABADA	2	0	1	1	2	12	26	44	63	61	54
ABADE	0	0	0	0	0	0	0	4	12	15	8
ABADI	0	1	4	1	7	8	13	33	25	55	40
ABADIA	10	13	20	26	23	47	58	77	57	49	47
ABADIANO	2	0	0	3	5	1	3	12	7	2	2
ABADIAS	5	7	6	8	15	5	14	10	4	7	3
ABADIE	738	959	736	1036	897	1021	1036	972	783	789	695
ABADLI	0	0	0	0	0	0	0	5	16	12	7
ABADLIA	0	0	0	0	0	0	0	15	7	14	12
ABADO	2	2	10	12	4	19	15	10	13	12	10
ABADOU	0	0	0	0	1	2	6	6	20	24	46
ABAFFOUR	1	3	1	4	3	5	7	6	3	7	5
ABAFOUR	6	10	4	7	10	9	7	8	11	3	2
ABAIDIA	0	0	1	0	0	3	10	20	28	34	52
ABAILLE	0	1	0	3	0	4	4	5	10	5	8
ABAIR	0	0	0	0	0	0	0	0	9	14	13
ABAJO	0	0	1	3	2	7	7	4	8	6	4
ABALAIN	26	53	42	53	59	68	84	84	67	75	28
ABALAM	0	1	3	0	4	14	1	2	12	2	4
ABALEA	15	28	10	31	41	24	40	45	25	33	31
ABALEO	2	0	3	4	3	6	6	3	2	5	3
ABALI	0	0	0	0	0	0	0	0	5	17	17
ABALLAIN	4	6	17	6	14	16	3	9	14	5	5
ABALLEA	18	28	35	46	51	65	45	90	68	43	40
ABALO	0	3	0	1	0	0	3	0	14	11	15
ABANADES	0	0	3	8	2	3	6	4	4	3	2
ABANCOURT	0	7	15	10	7	10	12	26	20	15	21
ABANE	0	0	0	0	0	3	2	5	4	8	9
ABANES	0	0	3	5	0	2	8	4	7	3	5
ABANI	0	0	0	0	0	0	0	0	6	17	15
ABAOUI	0	0	0	0	0	1	13	12	4	5	25
ABAR	5	8	13	14	16	26	36	29	34	46	39
ABARCA	3	2	3	11	2	6	24	12	14	19	8
ABARE	5	8	9	9	11	15	12	20	12	4	19
ABARKAN	0	0	0	0	0	0	0	3	12	44	53
ABARKI	0	0	0	0	0	0	0	0	8	14	15
ABARNOU	13	19	30	31	40	30	37	54	35	28	38
ABARO	0	4	1	0	4	13	5	7	10	4	6
ABART	6	13	11	3	12	11	6	10	6	3	11
ABAS	3	1	3	3	6	11	4	16	19	13	6
ABASCAL	0	7	8	7	7	11	7	12	10	4	9
ABASQ	2	3	6	10	7	8	20	17	13	17	21
ABASSE	0	1	0	0	0	0	1	0	8	17	14
ABASSEUR	0	6	4	1	1	0	3	1	6	3	8
ABASSI	1	1	7	6	4	15	25	55	108	100	128
ABASSIE	1	1	5	2	3	2	3	4	5	4	3
ABASTADO	0	0	0	4	2	5	7	3	2	7	2
ABAT	21	36	38	39	41	30	36	57	48	33	32
ABATAN	0	7	3	2	5	2	4	15	13	9	13
ABATE	2	13	13	10	21	23	58	126	95	83	83
ABATI	5	17	24	29	27	43	55	59	53	63	51
ABATORD	1	1	1	8	12	8	14	30	16	20	19
ABATTU	7	16	22	36	23	29	26	37	18	15	17
ABATUCI	2	16	8	12	22	6	26	34	12	13	23
ABATUT	5	5	7	3	9	7	6	9	6	3	3
ABAUL	5	7	13	19	19	15	23	33	20	18	27
ABAUTRET	10	25	27	19	31	41	39	39	33	36	23
ABAUX	1	5	3	1	3	5	1	7	7	1	2
ABAUZIT	24	51	25	42	30	34	58	48	37	57	34
ABAVENT	1	2	2	8	0	9	8	4	10	6	4
ABAZA	0	0	0	0	4	5	1	3	13	27	10
ABAZIOU	13	20	19	25	30	45	24	31	39	27	22
ABBA	20	23	31	44	37	56	55	52	77	80	91
ABBACH	0	0	0	0	0	0	0	0	2	21	9
ABBACHE	0	0	0	0	0	0	4	4	4	12	6
ABBACI	0	0	0	0	1	1	7	34	41	26	39
ABBAD	0	0	0	0	0	2	29	55	75	83	95
ABBADESSA	0	0	0	0	0	0	3	7	7	9	5
ABBADI	0	0	0	0	0	0	10	30	56	89	108
ABBADIE	85	87	80	84	90	101	115	105	80	66	64
ABBAL	46	52	38	67	38	66	53	58	36	41	52
ABBALLE	0	1	0	0	2	1	7	12	9	8	9
ABBAMONTE	0	3	5	2	6	3	10	11	3	7	6
ABBAOUI	0	0	0	0	0	0	1	9	23	44	46
ABBAR	0	0	0	1	0	1	3	13	35	35	44
ABBAS	4	1	1	10	7	29	81	185	263	289	302
ABBASSA	0	0	0	0	0	0	0	0	7	16	13
ABBASSE	0	0	0	0	0	0	7	7	3	13	13
ABBASSI	0	0	0	0	0	2	6	21	96	159	162
ABBAT	6	7	2	13	7	1	8	8	6	8	2
ABBATE	5	14	16	19	16	18	62	88	55	52	66
ABBATI	3	3	1	7	9	11	8	25	10	9	14
ABBATIELLO	0	0	0	0	0	0	8	7	6	2	7
ABBATTISTA	0	1	0	3	2	3	12	26	7	10	17
ABBATUCCI	3	2	2	6	4	2	10	5	1	6	4
ABBAYE	3	3	3	4	5	5	11	6	0	1	2
ABBAZ	0	0	0	0	0	0	1	8	22	21	20
ABBE	39	58	48	57	52	77	71	78	66	71	70
ABBE-DECARROUX	4	5	5	2	3	7	3	6	10	1	5
ABBENZELLER	0	0	0	2	2	7	8	3	11	3	7
ABBES	11	24	25	30	26	58	64	128	210	196	231
ABBEY	2	8	6	2	4	3	9	17	8	18	24
ABBEZZOT	0	4	0	5	7	14	24	34	41	33	49
ABBI	1	3	2	1	1	8	6	2	4	16	11
ABBIATI	4	2	3	4	5	1	8	1	4	7	4
ABBINANTI	0	2	0	1	1	1	6	6	1	10	4
ABBO	20	25	20	21	17	23	28	15	16	21	18
ABBONA	6	7	8	6	8	3	5	5	1	2	4
ABBONDANZA	0	1	2	12	0	12	13	13	17	8	7
ABBOT	0	3	4	1	3	4	2	5	4	10	3
ABBOTT	3	6	5	7	8	7	9	9	10	11	5
ABBOU	0	2	1	1	9	32	20	134	189	256	278
ABBOUB	0	0	0	0	0	0	0	4	21	14	10
ABBOUD	0	0	0	2	0	1	1	22	31	84	87
ABBOUDI	0	0	0	0	0	0	1	6	9	7	16
ABBRUZZESE	1	5	3	0	8	2	11	20	11	19	24
ABBURA	0	1	4	8	2	4	8	7	2	6	8
ABCHEE	0	4	8	9	2	1	0	4	6	1	2
ABCHI	0	0	0	0	0	0	1	22	9	4	5
ABCHICHE	0	0	0	0	1	1	1	11	19	16	11
ABD EL KADER	0	0	0	2	4	5	9	1	5	11	4
ABD-EL-KADER	0	0	1	4	1	8	14	13	5	2	11
ABDA	0	0	0	0	0	0	0	9	22	17	7
ABDALA	1	9	8	4	4	9	7	2	4	2	4
ABDALLA	0	0	0	3	2	0	9	7	7	30	34
ABDALLAH	3	10	15	47	56	89	213	225	298	475	683
ABDALLAH BEN SALLAH	0	0	0	3	4	0	6	10	3	4	0
ABDALLAOUI	0	0	0	0	0	0	0	10	25	28	31
ABDAOUI	0	0	0	0	0	0	1	16	36	75	49
ABDAT	0	0	0	0	0	3	11	28	25	29	30
ABDEBREIMAN	0	0	2	1	3	7	9	9	14	7	7
ABDECHAKOUR	0	0	0	0	0	0	7	3	7	6	7
ABDEDAIM	0	0	0	0	0	2	4	10	9	16	6
ABDEDDAIM	0	0	0	0	0	1	5	22	23	18	22
ABDEDDINE	0	0	0	0	0	0	0	0	10	16	8
ABDEDOU	0	0	0	0	0	1	15	18	12	10	15
ABDEL KADER	1	0	1	3	0	5	0	2	10	9	6
ABDEL RAHMAN	0	0	0	0	0	0	0	0	5	21	12
ABDEL-KADER	1	1	3	2	3	13	5	1	1	2	6
ABDELALI	0	0	0	0	1	5	30	32	34	53	50
ABDELAOUI	0	0	0	0	0	0	0	3	11	10	23
ABDELATIF	0	0	0	1	2	2	2	16	12	14	13
ABDELAZIZ	0	0	0	0	13	14	39	100	94	100	126
ABDELBAKI	0	0	0	0	0	0	4	12	13	20	11
ABDELBOST	0	0	0	0	0	0	14	20	11	7	10
ABDELCADER	0	0	0	2	0	1	7	5	8	7	1
ABDELDJEBBAR	0	0	0	0	0	0	3	2	6	10	9
ABDELFETTAH	0	0	0	0	0	0	0	8	13	8	8
ABDELGHAFOUR	0	0	0	0	0	1	13	15	5	9	11
ABDELGHANI	0	0	0	0	0	1	2	11	22	14	11
ABDELHADI	0	0	0	1	2	4	20	20	36	75	50
ABDELHAFID	0	0	0	0	0	0	0	12	19	12	14
ABDELHAK	0	0	0	0	0	0	3	27	59	38	56
ABDELHALIM	0	0	0	1	0	0	0	3	10	14	11
ABDELHAMID	0	0	0	0	2	1	8	16	24	37	44
ABDELHEDI	0	0	0	0	0	0	0	2	9	27	21
ABDELI	0	0	0	0	0	0	3	9	4	6	14
ABDELJALIL	0	0	0	0	0	0	0	5	14	12	22
ABDELJELIL	0	0	0	0	0	0	2	0	8	19	12
ABDELKADER	0	2	1	9	21	51	72	163	199	204	185
ABDELKADOUS	0	0	0	0	0	0	0	4	9	6	14
ABDELKAFI	0	0	0	0	0	0	1	5	13	9	13
ABDELKEBIR	0	0	0	0	0	0	0	0	11	26	11
ABDELKRIM	0	0	0	2	2	2	15	77	63	49	72
ABDELLAH	0	0	3	4	1	9	17	32	46	38	58
ABDELLALI	0	0	0	0	3	1	4	7	15	26	9
ABDELLAOUI	0	0	0	1	3	4	24	125	212	278	329
ABDELLATIF	0	0	0	0	2	0	2	23	55	61	61
ABDELLAZIZ	0	0	0	0	0	4	4	11	17	20	9
ABDELLI	0	0	0	0	2	13	84	276	246	255	333
ABDELLICHE	0	0	0	0	0	0	1	8	9	7	5
ABDELMALEK	0	0	0	1	4	8	29	68	94	108	99
ABDELMALKI	0	0	0	0	0	0	0	0	7	16	7
ABDELMOULA	0	0	0	0	0	0	0	3	23	58	43
ABDELMOUMEN	0	0	0	0	0	0	8	9	17	36	50
ABDELMOUMENE	0	0	0	0	0	0	11	42	56	39	57
ABDELMOUMENI	0	0	0	1	2	0	3	5	6	5	10
ABDELMOUMNI	0	0	0	0	0	0	0	7	13	9	23
ABDELNOUR	0	0	0	0	0	3	3	0	1	16	9
ABDELOUAHAB	0	0	0	0	1	3	5	13	23	24	39
ABDELOUAHABI	0	0	0	0	0	0	0	2	20	18	11
ABDELOUAHAD	0	0	0	0	1	0	0	1	11	15	11
ABDELOUAHED	0	0	0	0	3	5	11	14	42	39	30
ABDELOUHAB	0	0	0	3	2	1	20	39	27	36	45
ABDELWAHED	0	0	0	0	0	0	1	3	8	7	15
ABDENNEBI	0	0	0	0	2	2	2	16	19	29	38
ABDENNOUR	0	0	0	0	0	1	0	11	22	20	23
ABDENNOURI	0	0	0	0	0	0	0	2	11	23	19
ABDENOURI	0	0	0	0	0	0	0	9	9	13	16
ABDEREMANE	0	0	0	0	0	0	0	2	7	23	37
ABDERRAHIM	0	0	0	0	0	0	4	17	42	33	56
ABDERRAHMAN	0	0	1	2	8	10	16	24	29	33	37
ABDERRAHMANE	0	0	0	3	10	14	53	80	129	135	147
ABDERRAHMANI	0	0	0	0	0	1	2	14	47	26	13
ABDERRAHMANN	0	0	0	1	0	3	4	11	5	6	9
ABDERRAZAK	0	0	0	0	0	1	6	9	41	22	16
ABDERREZAK	0	0	0	0	0	0	1	1	19	21	15
ABDESLAM	0	0	1	0	2	7	9	14	27	24	28
ABDESLEM	0	0	0	0	0	1	7	9	16	25	24
ABDESSADKI	0	0	0	0	0	0	0	1	8	17	9
ABDESSADOK	0	0	0	0	0	0	1	5	15	15	12
ABDESSALEM	0	0	0	2	0	1	5	0	15	13	19
ABDESSATAR	0	0	0	0	0	0	0	11	31	11	14
ABDESSELAM	0	0	0	7	3	15	19	59	86	75	72
ABDESSELEM	0	0	0	1	5	8	16	19	35	38	43
ABDESSEMED	0	0	0	0	3	0	9	8	11	15	22
ABDESSLAM	0	0	0	1	0	0	1	27	49	22	21
ABDI	0	0	1	0	1	18	56	150	192	216	233
ABDICHE	0	0	0	0	0	2	1	12	25	35	24
ABDILLA	0	0	0	0	0	0	2	9	6	10	5
ABDILLAH	0	0	0	0	0	0	0	0	7	14	48
ABDILLAHI	0	0	0	0	1	1	0	4	14	15	36
ABDO	0	1	1	0	0	1	0	5	7	18	25
ABDOLA	2	1	7	6	3	5	8	3	5	7	7
ABDON	5	13	12	13	21	20	21	13	17	14	2
ABDOU	0	1	0	1	5	14	39	85	178	289	567
ABDOUCHE	0	0	0	0	1	0	6	5	12	4	10
ABDOUH	0	0	0	0	1	0	4	3	2	8	12
ABDOUL	0	5	4	9	8	25	35	38	63	81	103
ABDOUL-MANINROUDINE	2	0	5	0	2	3	8	11	11	3	10
ABDOULAYE	0	0	0	1	0	0	1	3	17	35	21
ABDOULHOUSSEN	0	0	0	0	0	0	0	0	1	13	16
ABDOULI	0	0	0	0	0	0	2	12	18	11	18
ABDOUN	0	0	1	5	5	8	17	38	56	59	55
ABDOUNE	0	0	0	0	0	0	7	16	19	33	22
ABDOUNI	0	0	0	0	0	0	6	18	22	25	36
ABDOURAHIM	0	0	0	0	0	2	0	0	3	18	13
ABDOUS	0	0	0	1	4	2	10	19	27	27	35
ABDUL	2	0	0	2	0	2	7	2	27	144	149
ABDULLAH	1	0	2	3	0	2	0	1	3	10	32
ABE	1	2	1	3	1	2	3	7	16	30	49
ABEBERRY	3	4	2	6	6	1	7	6	3	6	8
ABECASSIS	0	1	3	10	8	22	52	126	129	156	154
ABECK	5	2	9	4	0	2	11	3	6	9	4
ABED	0	2	1	2	8	18	71	201	271	327	318
ABEDI	0	0	0	0	0	0	1	12	10	9	20
ABEEL	3	1	2	6	6	3	6	9	1	5	5
ABEELE	6	6	10	18	18	19	23	16	14	10	13
ABEGG	6	13	5	14	15	10	31	27	25	28	32
ABEGUILE	7	11	9	19	21	17	23	24	24	17	12
ABEHSERA	0	0	0	0	0	0	0	6	7	4	17
ABEIL	6	6	7	10	8	11	8	14	7	12	8
ABEILARD	0	6	9	6	2	9	13	7	9	6	6
ABEILHE	13	15	12	15	15	14	14	15	11	11	7
ABEILHOU	8	6	6	13	5	7	13	7	5	8	7
ABEILLE	82	92	69	117	79	103	132	101	90	114	72
ABEILLON	19	13	23	35	32	40	38	42	24	48	29
ABEJEAN	2	9	1	7	9	4	5	10	3	7	2
ABEL	178	198	239	262	223	318	329	315	313	273	243
ABEL-COINDOZ	3	9	5	14	17	13	16	24	15	14	15
ABELA	0	6	7	12	19	19	51	122	94	77	86
ABELANET	11	4	12	25	13	14	24	17	12	14	10
ABELARD	31	72	64	105	103	95	162	176	141	176	153
ABELAUD	0	0	0	0	3	3	7	10	2	4	6
ABELE	5	8	7	14	10	14	29	30	26	35	25
ABELES	2	3	2	2	1	11	3	6	8	1	2
ABELI	0	0	3	5	1	6	4	4	8	4	8
ABELIN	8	14	10	14	7	16	15	12	12	15	9
ABELKALON	1	3	0	0	5	5	3	3	11	2	1
ABELLA	5	6	23	34	28	50	68	90	81	80	72
ABELLAN	0	1	5	27	24	29	53	107	76	65	82
ABELLANEDA	0	0	0	0	10	14	17	21	24	13	9
ABELLANET	0	3	1	2	5	3	1	7	6	3	3
ABELLARD	9	29	30	34	33	41	44	46	34	51	27
ABELLEYT	2	2	3	1	5	1	0	6	2	1	7
ABELLI	4	21	20	37	35	43	70	92	58	59	63
ABELLO	25	41	33	76	75	73	80	72	80	61	38
ABELLON	0	0	0	5	1	1	2	8	9	8	9
ABELLY	4	2	2	5	4	2	3	4	2	2	6
ABELS	4	3	3	1	2	5	5	6	7	10	9
ABELY	5	1	5	8	2	2	6	8	3	6	1
ABEMONTI	1	2	9	10	3	7	23	19	17	20	26
ABEMONTY	0	3	3	6	11	8	17	12	24	16	12
ABEN	0	0	3	5	2	3	8	3	4	8	1
ABENA	0	0	0	1	2	0	3	3	8	14	23
ABENAQUI	1	4	15	27	21	28	54	54	41	44	65
ABENON	0	5	10	4	7	9	14	9	12	19	11
ABENOZA	0	2	0	7	4	8	12	13	17	17	9
ABENSOUR	0	1	0	2	10	5	4	19	15	13	24
ABENTIN	3	10	2	13	8	1	5	7	4	1	4
ABENZA	0	0	1	8	4	1	5	14	6	9	11
ABENZOAR	10	20	11	32	34	38	45	86	70	46	48
ABER	0	0	1	0	0	2	9	23	24	29	33
ABERARD	1	3	8	2	5	5	3	4	0	2	4
ABERBOUR	0	0	0	0	5	4	4	9	11	10	13
ABERGEL	0	2	1	0	7	8	37	53	71	91	109
ABERKAN	0	0	0	0	0	0	0	1	13	28	22
ABERKANE	0	0	0	1	1	4	17	107	122	117	148
ABERLEN	5	8	6	3	8	8	8	8	4	7	11
ABERLENC	18	9	12	24	28	21	27	32	16	16	13
ABERLIN	6	7	7	6	6	10	7	3	6	4	7
ABERNOT	14	13	13	12	6	10	14	10	15	16	15
ABERT	40	60	33	61	55	75	59	63	61	40	39
ABERTH	5	6	5	5	4	6	9	2	5	5	3
ABERTON	1	3	2	1	6	5	2	7	7	4	3
ABES	2	1	4	11	10	20	29	48	51	42	43
ABESCAT	10	12	9	24	5	22	24	17	14	9	13
ABET	24	25	33	28	17	29	11	24	13	12	7
ABEZA	1	1	3	2	5	7	10	4	4	2	4
ABFI	0	9	2	10	7	3	5	10	2	7	12
ABGRAL	2	7	3	3	3	8	5	6	10	1	9
ABGRALL	186	265	254	340	333	299	415	414	297	299	283
ABGRALL-ABHAMON-OLLIVIER	0	4	11	7	10	2	12	8	5	7	6
ABGUEGUEN	1	1	2	13	13	6	6	9	5	3	5
ABGUILLERM	10	14	28	18	28	32	20	44	37	26	32
ABHAMON	0	4	7	11	5	6	9	19	6	2	15
ABHERVE	6	9	9	13	4	23	22	16	26	20	15
ABHERVE GUEGUEN	2	1	7	13	4	3	1	0	3	6	1
ABHERVE-GUEGUEN	5	9	6	15	4	24	28	16	15	22	15
ABHERVEGUEGUEN	3	0	1	4	2	3	6	4	2	2	8
ABI	0	0	0	0	0	0	0	1	5	8	17
ABIAD	0	0	0	3	1	3	5	4	8	13	8
ABIAN	2	4	1	2	8	5	1	6	5	1	0
ABIB	0	0	0	0	1	0	12	20	20	29	29
ABIBON	3	2	4	4	3	6	3	2	3	3	2
ABIBOU	0	0	0	0	0	1	6	4	5	14	3
ABICHOU	0	0	4	2	0	0	0	2	22	89	99
ABID	0	0	0	1	2	9	40	230	336	423	440
ABIDA	0	0	0	0	1	2	11	25	60	59	61
ABIDAL	0	0	2	4	3	11	13	11	14	3	8
ABIDALLAH	0	0	0	0	0	0	0	1	12	25	16
ABIDAR	0	0	0	0	0	0	0	0	6	18	12
ABIDAT	0	0	1	0	0	1	16	32	43	35	28
ABIDI	0	0	0	0	0	2	10	52	186	304	250
ABIDOS	2	15	14	12	29	25	32	51	42	29	47
ABIDRI	0	0	0	0	0	2	5	2	8	7	7
ABIENSO	0	0	0	0	0	2	1	5	2	11	9
ABIER	0	5	4	1	10	13	7	9	5	5	3
ABIHSSIRA	0	0	0	0	0	0	0	21	28	32	24
ABILA	0	0	0	4	0	4	7	16	4	13	10
ABILIOU	6	1	4	8	1	3	7	2	4	6	5
ABILLARD	8	12	17	14	13	19	31	12	23	19	14
ABILY	23	39	29	52	58	46	63	78	64	49	61
ABIME	2	2	0	3	1	8	2	4	11	1	1
ABIN	4	7	10	8	5	12	21	5	18	14	3
ABINA	0	0	0	0	1	4	2	16	12	8	6
ABINAL	10	10	12	14	13	10	13	15	14	14	8
ABIREZ	0	0	0	0	0	3	3	1	14	12	3
ABIS	2	0	4	9	4	7	8	18	14	14	11
ABISOINA	0	0	0	0	0	0	0	0	0	14	27
ABISROR	0	0	0	1	1	0	7	12	18	16	15
ABISSE	0	0	3	3	2	10	12	9	6	8	9
ABISSET	7	7	12	16	13	13	25	23	15	26	18
ABISUR	0	6	8	8	6	11	24	25	18	20	20
ABIT	12	18	14	12	17	22	18	16	16	8	12
ABITAN	0	0	0	0	0	0	1	8	7	24	15
ABITBOL	0	0	1	9	7	15	93	217	227	299	345
ABITBOUL	0	0	0	1	0	0	1	5	8	5	15
ABITEBOUL	0	0	0	2	5	4	5	11	16	17	20
ABITTAN	0	0	0	0	0	1	3	6	20	23	27
ABIVEN	76	143	134	210	232	233	299	318	279	207	219
ABIZANDA	3	1	5	5	2	4	8	9	7	4	7
ABJEAN	27	36	37	64	68	72	72	99	63	47	74
ABJEAN-UGUEN	5	7	9	4	5	4	10	6	7	8	4
ABKARI	0	0	0	0	2	0	2	10	11	18	8
ABLA	0	0	0	0	0	4	4	7	15	20	18
ABLAIN	13	16	20	31	19	38	41	35	44	34	27
ABLAK	0	0	0	0	0	0	0	0	3	14	19
ABLANA	1	8	9	6	8	10	16	17	19	18	16
ABLANC	0	0	0	1	0	4	1	5	10	19	31
ABLANCOURT	3	26	39	45	50	79	101	85	91	109	73
ABLAOUI	0	0	0	0	0	5	20	7	19	21	20
ABLARD	5	5	7	10	6	5	15	10	6	9	8
ABLER	2	4	5	1	6	14	8	12	14	6	9
ABLEZOT	1	3	3	1	6	17	14	17	17	13	15
ABLIN	15	31	26	33	32	43	27	48	45	22	31
ABLINE	22	27	24	34	32	49	45	44	51	42	35
ABLITZER	4	3	4	8	6	7	1	6	7	3	2
ABLON	6	8	2	10	2	4	6	0	1	3	1
ABLONDI	1	3	1	1	4	4	7	9	9	13	8
ABLONET	0	8	1	2	10	8	7	11	9	4	9
ABLOUH	0	0	0	0	0	0	4	3	5	13	10
ABMON	2	3	2	12	14	5	6	10	5	11	11
ABNER	1	13	20	19	19	37	20	56	45	41	54
ABO	0	1	2	4	4	9	8	3	8	6	15
ABOAB	0	0	1	2	5	4	11	16	16	12	9
ABODI	0	0	1	7	12	5	28	22	6	18	25
ABOEKA	0	0	0	0	0	1	0	3	2	15	54
ABOIKONI	0	0	0	0	0	0	0	0	0	10	20
ABOISSIERE	0	2	2	2	4	4	6	4	3	2	1
ABOLET	1	6	3	5	4	4	10	9	14	8	10
ABOLIVIER	14	22	20	27	40	27	32	39	25	24	30
ABOLLIVIER	3	5	2	5	8	4	8	10	7	5	7
ABOMEY	1	3	3	3	3	5	13	10	10	9	3
ABOMNES	2	9	5	7	8	9	12	13	7	7	11
ABON	4	17	38	25	16	45	42	55	76	53	52
ABONDANCE	14	19	21	43	21	38	39	40	32	26	35
ABONNAT	3	8	7	12	9	4	13	5	8	13	5
ABONNEAU	20	48	42	27	47	46	31	59	27	20	37
ABONNEL	20	9	14	13	16	19	28	23	22	18	16
ABONNENC	4	5	14	13	7	9	10	8	10	11	10
ABOR	0	5	4	0	4	2	6	2	3	2	3
ABOS	5	7	9	11	2	11	12	13	17	11	3
ABOSO	0	1	2	0	2	8	3	5	11	3	3
ABOT	13	17	25	17	23	38	39	43	31	34	34
ABOTT	0	1	0	0	0	3	7	5	10	9	5
ABOU	5	2	3	10	16	26	22	70	63	73	77
ABOUAF	1	4	2	13	28	8	4	18	9	16	7
ABOUALI	0	0	0	0	0	0	0	1	9	12	10
ABOUBACAR	0	0	0	0	0	0	0	5	5	16	52
ABOUBAKAR	0	0	0	0	0	0	0	2	2	7	27
ABOUBAKARI	0	0	0	0	0	0	0	0	1	6	26
ABOUCAYA	3	2	0	3	10	10	6	25	24	17	33
ABOUD	0	0	0	0	0	2	12	19	31	27	46
ABOUDA	0	0	0	0	0	0	2	4	14	32	27
ABOUDARAM	2	3	3	2	7	6	6	8	12	14	13
ABOUDI	0	0	0	0	0	0	1	4	28	29	40
ABOUDOU	0	2	1	0	0	2	2	28	82	163	289
ABOUDRAR	0	0	0	0	0	0	0	2	13	31	24
ABOUGIT	5	15	9	4	8	9	5	5	8	7	3
ABOUJDID	0	0	0	0	0	0	4	9	7	10	6
ABOUKIR	0	1	2	15	16	11	13	21	29	24	40
ABOUKRAT	0	0	0	0	0	1	7	13	18	30	22
ABOUL	0	1	1	7	2	6	9	4	5	3	3
ABOULGHAZI	0	0	0	0	0	0	0	0	0	17	30
ABOULICAM	2	10	6	9	9	17	17	15	19	16	6
ABOULIN	28	25	15	38	35	28	26	33	24	21	28
ABOULINC	6	11	10	11	7	10	21	6	5	6	7
ABOULKER	0	1	2	2	4	3	12	12	18	29	21
ABOULKHEIR	0	0	0	0	3	4	4	24	14	17	20
ABOULY	5	4	3	5	8	1	6	8	4	4	11
ABOUNA	0	0	2	2	3	3	5	10	5	9	10
ABOUPA	1	4	2	2	6	10	11	11	18	16	14
ABOUQUIR	1	6	9	4	13	13	16	30	22	28	15
ABOUR	0	0	0	0	0	0	5	9	16	7	9
ABOURI	0	0	0	0	0	0	0	0	5	18	9
ABOUSAID	0	0	0	0	0	0	1	5	3	6	17
ABOUT	17	27	31	39	36	44	48	40	57	60	53
ABOUZIT	7	3	2	9	1	5	4	0	0	3	2
ABRACHY	8	8	9	11	6	5	8	6	4	10	2
ABRADOR	0	2	3	9	15	22	24	35	18	38	37
ABRAHAM	318	483	399	570	559	642	830	811	735	713	671
ABRAHAMI	0	0	0	4	1	4	15	17	21	26	17
ABRAHAMIAN	0	0	0	10	11	15	16	14	11	12	19
ABRAHAMME	2	3	6	8	8	13	23	20	18	13	14
ABRAHAMS	1	3	0	3	1	7	1	5	6	3	8
ABRAHAMSE	0	0	0	0	0	0	12	7	1	12	9
ABRAHAMSON	0	0	2	5	0	5	10	6	1	3	2
ABRAHIM	1	0	0	5	0	2	6	5	0	8	8
ABRAINI	6	11	12	17	12	11	20	27	18	9	7
ABRAL	2	1	8	5	3	0	6	6	2	7	4
ABRAM	47	62	59	69	69	80	97	103	77	85	58
ABRAME	3	3	1	5	3	1	7	1	0	4	2
ABRAMI	0	1	5	2	3	3	8	16	14	12	13
ABRAMO	0	0	0	2	5	3	8	9	7	8	8
ABRAMOFF	1	2	0	7	7	5	7	0	3	13	12
ABRAMOVICI	0	3	7	7	14	22	15	12	19	17	12
ABRAMOVITCH	1	20	6	8	11	12	2	5	6	3	0
ABRAMOWICZ	0	0	1	12	21	22	13	6	17	11	4
ABRAMOWITZ	4	6	1	2	1	8	0	4	5	0	1
ABRAMSKI	2	1	0	3	2	3	5	6	3	9	9
ABRAN	10	33	29	34	30	37	57	44	40	36	42
ABRAND	6	1	3	4	3	3	3	3	7	6	3
ABRANT	2	4	3	8	7	7	6	7	8	3	5
ABRANTES	6	15	17	42	28	25	32	95	129	129	117
ABRARD	19	28	28	40	31	42	52	62	41	40	34
ABRAS	7	13	17	12	24	39	24	24	48	17	26
ABRASSART	19	34	28	37	30	46	68	58	57	57	55
ABRATE	5	10	8	8	15	16	27	23	13	22	12
ABRATKIEWICZ	0	0	0	0	2	2	4	8	3	2	10
ABRAVANEL	0	0	0	3	4	6	5	6	9	5	4
ABRAZARD	0	0	2	9	5	1	5	6	6	13	2
ABRECHT	3	2	2	6	1	5	10	4	4	10	1
ABREDER	2	4	3	9	6	6	10	10	9	9	3
ABRELL	3	4	0	3	4	0	1	7	0	6	2
ABREO	0	6	2	1	4	2	4	4	2	11	6
ABREU	0	1	0	6	7	16	13	70	206	124	166
