NOM	_1891_1900	_1901_1910	_1911_1920	_1921_1930	_1931_1940	_1941_1950	_1951_1960	_1961_1970	_1971_1980	_1981_1990	_1991_2000
FOISON	22	20	24	21	20	31	25	29	24	15	20
FOISSAC	58	106	93	133	102	129	134	149	126	94	74
FOISSARD	16	14	22	21	10	23	22	30	22	25	14
FOISSE	0	10	3	5	1	4	5	2	3	5	2
FOISSEAU	15	14	21	20	25	41	27	22	29	24	24
FOISSET	7	18	12	18	20	20	22	24	8	16	17
FOISSEY	33	58	47	43	62	82	58	73	81	54	44
FOISSIER	14	20	17	41	21	46	43	54	44	40	38
FOISSIN	5	11	10	4	4	7	3	4	7	5	4
FOISSOTTE	18	24	26	39	45	56	71	74	65	79	62
FOISSY	24	28	40	50	55	77	76	95	72	75	57
FOIST	1	3	7	4	2	3	3	3	5	1	2
FOISY	12	25	18	23	15	26	22	28	26	13	11
FOIT	1	1	1	4	4	3	2	5	3	2	4
FOITY	1	4	5	4	2	11	1	5	4	0	1
FOIVARD	1	4	0	1	4	4	7	9	5	6	0
FOIX	46	57	59	67	68	91	82	95	66	54	64
FOIXET	9	8	7	13	7	11	7	4	10	2	7
FOIZON	1	5	4	9	1	2	9	8	3	6	3
FOJT	0	0	0	4	7	6	6	5	2	1	0
FOKI	2	2	4	8	5	3	5	5	4	3	0
FOKKE DE GOEDE	4	2	0	3	2	3	2	6	4	2	3
FOKS	0	1	0	12	8	6	6	5	2	5	2
FOL	36	42	31	73	45	56	80	61	51	45	53
FOLACCI	30	39	34	38	24	14	27	38	26	20	19
FOLAIN	2	8	6	4	6	12	8	14	13	4	6
FOLASTRE	2	5	5	9	14	13	16	19	15	18	15
FOLATRE	8	11	3	5	20	15	14	35	15	22	37
FOLB	0	4	4	3	4	9	6	5	8	6	4
FOLCADE	2	2	2	3	1	8	3	2	6	3	5
FOLCH	4	9	23	21	33	33	37	47	36	41	25
FOLCHER	67	129	88	110	117	108	113	118	75	100	88
FOLCKE	4	9	6	3	10	8	3	9	8	4	10
FOLCKEN	1	5	0	2	3	2	5	3	5	7	3
FOLCO	30	49	34	66	42	51	48	40	50	41	27
FOLDRIN	2	3	1	9	16	6	12	18	4	12	13
FOLDZ	1	0	3	4	6	4	12	16	5	10	9
FOLEA	7	5	5	8	4	2	6	2	3	5	5
FOLEAS	5	5	1	6	1	1	5	0	2	5	0
FOLENFANT	2	4	11	1	1	15	9	6	12	4	3
FOLENS	3	6	9	10	12	14	18	15	20	19	12
FOLEST	0	2	3	0	1	4	4	2	7	2	6
FOLET	3	8	4	7	10	11	10	11	7	4	9
FOLETTI	0	3	4	19	6	8	10	8	2	5	5
FOLETTO	0	0	0	1	3	7	7	2	6	6	3
FOLEY	4	2	6	5	10	7	19	21	17	10	19
FOLGADO	0	0	2	2	1	3	3	19	35	27	21
FOLGALVEZ	3	3	1	5	3	6	6	15	4	2	12
FOLGHERA	5	12	8	9	4	14	6	6	3	3	4
FOLGOAS	20	24	21	35	22	37	30	33	27	36	31
FOLGOAT	2	3	6	4	11	21	29	35	34	26	39
FOLGRINGER	1	7	5	0	5	8	2	7	2	0	7
FOLI	3	5	7	15	20	15	18	31	16	22	24
FOLIARD	7	18	20	20	20	29	24	33	35	22	28
FOLIE	20	19	25	28	29	33	32	36	30	25	18
FOLIGNE	10	17	14	30	29	22	44	37	24	25	26
FOLIGUET	5	4	3	14	13	7	22	15	18	9	17
FOLIN	19	13	13	22	13	26	45	32	35	51	32
FOLINAIS	3	9	4	6	2	8	7	7	5	9	3
FOLINI	1	2	0	3	2	2	11	5	7	8	6
FOLINO	0	0	0	0	0	0	7	14	4	4	16
FOLIO	20	123	128	188	217	252	360	348	300	402	330
FOLIOT	19	39	42	56	41	61	69	62	62	46	40
FOLK	0	0	3	5	1	4	9	7	5	4	4
FOLKERT	0	0	3	0	3	7	8	10	12	13	22
FOLKMANN	2	4	10	6	13	18	20	16	15	15	15
FOLL	34	37	45	71	68	68	78	69	74	53	34
FOLLADOR	0	0	0	1	9	2	7	18	8	8	10
